ID_ergou,Titlos_ergou,Perilipsi_ergou,Poso_ergou,Hmerominia_enarksis_ergou,Hmerominia_liksis_ergou,Diarkeia_ergou,ID_stelehouss,ID_aksiologiti,ID_aksiologisi,ID_programma,ID_organismou
1,Titlos_ergou 1,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",274667,30-01-21,31-07-22,1,1,100,1,1,1
2,Titlos_ergou 2,In congue. Etiam justo. Etiam pretium iaculis justo.,647693,18-03-21,02-07-22,1,2,100,2,2,1
3,Titlos_ergou 3,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,219149,22-03-21,21-07-22,1,3,100,3,3,1
4,Titlos_ergou 4,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",150784,28-03-21,08-08-22,1,4,100,4,4,1
5,Titlos_ergou 5,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",209161,13-04-21,14-08-22,1,5,100,5,5,1
6,Titlos_ergou 6,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,799999,15-07-21,25-08-22,1,6,100,6,6,1
7,Titlos_ergou 7,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,921734,02-08-21,02-09-22,1,7,100,7,7,1
8,Titlos_ergou 8,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",407967,12-08-21,08-09-22,1,8,101,8,8,1
9,Titlos_ergou 9,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",330872,27-08-21,14-09-22,1,9,101,9,9,1
10,Titlos_ergou 10,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,978819,22-09-21,20-10-22,1,10,101,10,10,1
